source,target,type
test:tests/test\_dashboard\_state.py,roadmap:009,validates
test:tests/test\_first\_run\_wizard.py,roadmap:009,validates
test:tests/test\_manual\_demo\_trading.py,roadmap:009,validates
test:tests/test\_no\_live\_dashboard\_actions.py,roadmap:009,validates
test:tests/test\_spot\_preview.py,roadmap:009,validates
test:tests/test\_trade\_origin.py,roadmap:009,validates
doc:docs/control-center-startflow.md,roadmap:009,documents
doc:docs/dashboard-safety-contract.md,roadmap:009,documents
doc:docs/dashboard-troubleshooting.md,roadmap:009,documents
doc:docs/demo-spot-trading-dashboard.md,roadmap:009,documents
doc:docs/first-run-wizard.md,roadmap:009,documents
doc:docs/manual-demo-trade-ticket.md,roadmap:009,documents
roadmap:001,roadmap:010,follows_on
roadmap:002,roadmap:010,follows_on
roadmap:003,roadmap:010,follows_on
roadmap:004,roadmap:010,follows_on
roadmap:005,roadmap:010,follows_on
roadmap:010,roadmap:010,follows_on
roadmap:010,module:src/binance\_spot\_bot/feature\_inspector.py,implements
roadmap:010,module:src/binance\_spot\_bot/parameter\_sweep.py,implements
roadmap:010,module:src/binance\_spot\_bot/replay\_sandbox.py,implements
roadmap:010,module:src/binance\_spot\_bot/risk\_debugger.py,implements
roadmap:010,module:src/binance\_spot\_bot/session\_compare.py,implements
roadmap:010,module:src/binance\_spot\_bot/signal\_explainer.py,implements
roadmap:010,module:src/binance\_spot\_bot/strategy\_lab\_reports.py,implements
roadmap:010,module:src/binance\_spot\_bot/ui/replay.py,implements
roadmap:010,module:src/binance\_spot\_bot/ui/session\_compare.py,implements
roadmap:010,module:src/binance\_spot\_bot/ui/strategy\_lab.py,implements
roadmap:010,module:src/binance\_spot\_bot/what\_if.py,implements
test:tests/test\_feature\_inspector.py,roadmap:010,validates
test:tests/test\_parameter\_sweep.py,roadmap:010,validates
test:tests/test\_replay\_sandbox.py,roadmap:010,validates
test:tests/test\_risk\_debugger.py,roadmap:010,validates
test:tests/test\_session\_compare.py,roadmap:010,validates
test:tests/test\_signal\_explainer.py,roadmap:010,validates
test:tests/test\_strategy\_lab\_reports.py,roadmap:010,validates
test:tests/test\_what\_if\_simulator.py,roadmap:010,validates
doc:docs/feature-inspector.md,roadmap:010,documents
doc:docs/parameter-sweep.md,roadmap:010,documents
doc:docs/replay-sandbox.md,roadmap:010,documents
doc:docs/risk-decision-debugger.md,roadmap:010,documents
doc:docs/session-comparison.md,roadmap:010,documents
doc:docs/signal-explanation.md,roadmap:010,documents
doc:docs/strategy-lab-safety-contract.md,roadmap:010,documents
doc:docs/strategy-lab.md,roadmap:010,documents
doc:docs/what-if-simulator.md,roadmap:010,documents
roadmap:001,roadmap:011,follows_on
roadmap:002,roadmap:011,follows_on
roadmap:003,roadmap:011,follows_on
roadmap:004,roadmap:011,follows_on
roadmap:005,roadmap:011,follows_on
roadmap:011,roadmap:011,follows_on
roadmap:011,module:src/binance\_spot\_bot/copilot.py,implements
roadmap:011,module:src/binance\_spot\_bot/copilot\_permissions.py,implements
roadmap:011,module:src/binance\_spot\_bot/copilot\_redaction.py,implements
roadmap:011,module:src/binance\_spot\_bot/dataset\_builder\_ui.py,implements
roadmap:011,module:src/binance\_spot\_bot/model\_training\_wizard.py,implements
roadmap:011,module:src/binance\_spot\_bot/report\_assistant.py,implements
roadmap:011,module:src/binance\_spot\_bot/scanner\_wizard.py,implements
roadmap:011,module:src/binance\_spot\_bot/strategy\_templates.py,implements
roadmap:011,module:src/binance\_spot\_bot/ui/copilot\_panel.py,implements
roadmap:011,module:src/binance\_spot\_bot/ui/dataset\_builder.py,implements
roadmap:011,module:src/binance\_spot\_bot/ui/model\_training.py,implements
roadmap:011,module:src/binance\_spot\_bot/ui/plugin\_api.py,implements
roadmap:011,module:src/binance\_spot\_bot/ui/plugins/,implements
roadmap:011,module:src/binance\_spot\_bot/ui/template\_gallery.py,implements
test:tests/test\_beginner\_expert\_mode.py,roadmap:011,validates
test:tests/test\_copilot\_panel.py,roadmap:011,validates
test:tests/test\_copilot\_permissions.py,roadmap:011,validates
test:tests/test\_copilot\_redaction.py,roadmap:011,validates
test:tests/test\_dataset\_builder\_ui.py,roadmap:011,validates
test:tests/test\_model\_training\_wizard.py,roadmap:011,validates
test:tests/test\_plugin\_api.py,roadmap:011,validates
test:tests/test\_report\_assistant.py,roadmap:011,validates
test:tests/test\_scanner\_configuration\_wizard.py,roadmap:011,validates
